Lien,Numéro Brevet,Titre,Date de publication,Mots-clés,Description,Domaine Technologique,Inventeurs,Titulaire du brevet,Statut du brevet,Résumé,Problème,Solution
https://patents.google.com/patent/US10318804B2,US10318804B2,System and method for data extraction and searching,2014-06-30,"Systems, methods, quickly, efficiently, searching","
     Systems and methods are provided for quickly and efficiently searching and receiving results for real estate-related information without or at least with minimal human processing of real estate-related documents. Optical character recognition on a plurality of scanned document images is performed to obtain a plurality of textual data representations of the real estate-related documents. Data is extracted from the textual data representations, and subsequently contextualized according to a real estate-related context. Aspects of the extracted data as well as the textual data representations are provided as search results based on one or more searches for real estate-related information. 
   
   ",Intelligence Artificielle,"Calvin Powell, Chris Rubio, Raza Khan",First American Financial Corp,"Active, expires 2035-11-14",,,
https://patents.google.com/patent/US10318808B2,US10318808B2,Some automated and semi-automated tools for linear feature extraction in two and three dimensions,2017-08-08,"system, vector, extraction, comprising, vector, extraction, engine","
     A system for vector extraction comprising a vector extraction engine stored and operating on a network-connected computing device that loads raster images from a database stored and operating on a network-connected computing device, identifies features in the raster images, and computes a vector based on the features, and methods for feature and vector extraction. 
   
   ",Télécommunications,"Jacek Grodecki, Seth Malitz, Josh Nolting",Maxar Intelligence Inc,Active,,,
https://patents.google.com/patent/US10318812B2,US10318812B2,Automatic digital image correlation and distribution,2016-06-21,"Embodiments, invention, provide, systems, methods","
     Embodiments of the present invention provide systems and methods for image correlation and distribution. The method includes receiving an image depicting at least one person, metadata for the image, contact data, facial recognition data, and location data. The method further includes analyzing the image and other data, and determining the identity of people in the image based on the facial recognition data and the location data. 
   
   ",Sécurité,"Kulvir S. Bhogal, II Rick A. Hamilton, Yin Xia, Yu Lin Zhai",International Business Machines Corp,"Active, expires 2036-07-18",,,
https://patents.google.com/patent/US10318814B2,US10318814B2,Framework for combining content intelligence modules,2015-08-03,"method, analyzing, media, assets, such, as, video","
     A method for analyzing media assets such as video and audio files. The method includes providing access to all the frames of a digital media asset. The method includes, with a microprocessor, running a raw analyzer modules to analyze the asset frames to produce sets of raw analyzer result data that are stored in a data cache in a file associated with the asset. The sets of raw analyzer results are linked to the raw analyzer modules with unique identifiers. The digital media asset is played for the raw analyzer modules, which concurrently analyze the temporally-related frames. The raw analyzer results are stored as data tracks that include metadata for the asset such as immutable parameters including histograms. The method includes using a feature algorithm module to generate an analysis result, such as face identification, for the digital media asset based on the raw analyzer results accessed by the identifiers. 
   
   ",Sécurité,"Martin Schmitz, Hartmut Warncke, Sven Winter",Adobe Inc,Active,,,
https://patents.google.com/patent/US10318822B2,US10318822B2,Object tracking,2017-04-06,"Methods, systems, tracking, object.","
     Methods and systems are provided for tracking an object. The system includes a data receiving module receiving two dimensional imaging data including an object and height map data correlating ground height and location. A two dimensions to three dimensions transformation module determines a location of the object in three dimensional space based on the two dimensional imaging data and the height map data. A tracking module tracks the object using the location of the object. 
   
   ",Sécurité,"Peter Gao, Gautier Minster, Elliot Branson, Stuart Glaser",GM Global Technology Operations LLC,"Active, expires 2037-05-14",,,
https://patents.google.com/patent/US10318823B2,US10318823B2,Forward-facing multi-imaging system for navigating a vehicle,2014-10-14,"Systems, methods, use, cameras, provide, autonomous, navigation, features.","
     Systems and methods use cameras to provide autonomous navigation features. In one implementation, a driver-assist system is provided for a vehicle. The system may include one or more image capture devices configured to acquire images of an area forward of the vehicle. The system may also include at least one processing device configured to receive, via one or more data interfaces, the images. The at least one processing device may be further configured to analyze the images acquired by the one or more image capture devices and cause at least one navigational response in the vehicle based on monocular and/or stereo image analysis of the images. 
   
   ",Sécurité,"Amnon Shashua, Gaby Hayon, Yossi Hadad, Efim Belman, Eyal Bagon",Mobileye Vision Technologies Ltd,Active,,,
https://patents.google.com/patent/US10318826B2,US10318826B2,Rear obstacle detection and distance estimation,2016-10-07,"disclosure, relates, systems, methods, estimating","
     The disclosure relates to systems and methods for estimating or determining the motion of a vehicle and/or the distance to objects within view of a rear camera. A method for rear obstacle detection using structure from motion includes identifying image features in a first frame corresponding to features in a second frame, wherein the first frame and the second frame comprise adjacent image frames captured by a rear-facing camera of a vehicle. The method includes determining parameters for a non-planar motion model based on the image features. The method includes determining camera motion based on the parameters for the non-planar motion model. 
   
   ",Télécommunications,"Yi Zhang, Vidya Nariyambut murali, Madeline J Goh",Ford Global Technologies LLC,"Expired - Fee Related, expires 2037-05-02",,,
https://patents.google.com/patent/US10318827B2,US10318827B2,Object detection neural networks,2016-12-19,"Methods,, systems,, apparatus,, including, computer, programs, encoded, on, computer","
     Methods, systems, and apparatus, including computer programs encoded on computer storage media, for generating object detection predictions from a neural network. In some implementations, an input characterizing a first region of an environment is obtained. The input includes a projected laser image generated from a three-dimensional laser sensor reading of the first region, a camera image patch generated from a camera image of the first region, and a feature vector of features characterizing the first region. The input is processed using a high precision object detection neural network to generate a respective object score for each object category in a first set of one or more object categories. Each object score represents a respective likelihood that an object belonging to the object category is located in the first region of the environment. 
   
   ",Télécommunications,"Zhaoyin Jia, Ury Zhilinsky, Yun Jiang, Yimeng Zhang",Waymo LLC,"Active, expires 2037-05-05",,,
https://patents.google.com/patent/US10318828B2,US10318828B2,Vehicle behavior analysis,2013-12-19,"Embodiments, disclosed, identifying, potentially, erratic, vehicles, travelling, near","
     Embodiments are disclosed for identifying potentially erratic vehicles travelling near a vehicle including an in-vehicle computing system. In some embodiments, an in-vehicle computing system for a vehicle includes a processor, a sensor subsystem communicatively coupleable to a camera mounted on the vehicle, and an external device interface communicatively coupleable to an extra-vehicle server. The in-vehicle computing system may also include a storage device storing instructions executable by the processor to monitor neighboring vehicles within a field of view of the camera, identify a potential erratic vehicle, and transmit vehicle information to the extra-vehicle server. 
   
   ",Autre,Vallabha Hampiholi,Harman International Industries Inc,"Active, expires 2035-06-30",,,
https://patents.google.com/patent/US10318830B2,US10318830B2,"Passenger counting device, system, method and program",2016-03-17,"passenger, counting, system, includes:, first, photographing, means, 30","
     A passenger counting system includes: a first photographing means  30  for photographing a vehicle and acquiring a first image; a second photographing means  31  for photographing the vehicle in a state of receiving only light of a first specific wavelength band and acquiring a second image; and a passenger counting device  200 . The passenger counting device  200  includes: an image separation means  42  for acquiring a plurality of separate images based on the first image and the second image; and a passenger number determination means  43  for determining the number of passengers of the vehicle based on the plurality of separate images. 
   
   ",Autre,Shinichi Miyamoto,NEC Corp,Active,,,
https://patents.google.com/patent/US10318833B2,US10318833B2,System and method for person identification and personality assessment based on EEG signal,2016-01-18,"invention, relates, novel, system, method","
     The present invention relates a novel system and method for person identification and personality assessment based on electroencephalography (EEG) signal. More particularly, this invention relates to a novel method of EEG recording and processing to map the inherent and unique properties of brain in the form of highly specific brain signature to be used as means for person identification and personality assessment. 
   
   ",Télécommunications,"Puneet Agarwal, Siddharth Panwar, Shiv Dutt Joshi, Anubha Gupta",Individual,Active,,,
https://patents.google.com/patent/US10318834B2,US10318834B2,Optimized image feature extraction,2017-05-01,"embodiment, provides, image, processing, circuitry., image, processing","
     One embodiment provides an image processing circuitry. The image processing circuitry includes a feature extraction circuitry and an optimization circuitry. The feature extraction circuitry is to determine a feature descriptor based, at least in part, on a feature point location and a corresponding scale. The optimization circuitry is to optimize an operation of the feature extraction circuitry. Each optimization is to at least one of accelerate the operation of the feature extraction circuitry, reduce a power consumption of the feature extraction circuitry and/or reduce a system memory bandwidth used by the feature extraction circuitry. 
   
   ",Autre,"Gurpreet S. Kalsi, Om J. Omer, Biji George, Gopi Neela, Dipan Kumar Mandal, Sreenivas Subramoney",Intel Corp,"Expired - Fee Related, expires 2037-06-03",,,
https://patents.google.com/patent/US10318835B2,US10318835B2,Extraction of data from a digital image,2018-03-07,"Capturing, information, from, imprinted, item, comprises, computing, device","
     Capturing information from an imprinted item comprises a computing device that receives an image of a back side of an imprinted item, the payment instrument comprising information imprinted thereon such that the imprinted information protrudes from a front side of the imprinted item and the imprinted information is indented into the back side of the imprinted item. The computing device extracts sets of characters from the image of the back side of the imprinted item based on the imprinted information indented into the back side of the imprinted item and depicted in the image of the back side of the imprinted item. The computing device applies a first character recognition application to process the sets of characters extracted from the image of the back side of the imprinted item and categorizes each of the sets of characters into one of a plurality of categories relating to the information. 
   
   ",Télécommunications,"Henry Allan Rowley, Ashok Chhabedia Popat, Michael Edward Jahr, Zhifei Li",Google LLC,Expired - Fee Related,,,
https://patents.google.com/patent/US10318837B2,US10318837B2,Distinguishing between stock keeping units using a physical dimension of a region depicted in an image,2016-05-02,"disclosure, system, method, distinguishing, between","
     The disclosure includes a system and method for distinguishing between stock keeping units of similar appearance that vary in size. An image recognition application receives an image including a shelving unit stocking a plurality of items, identifies each item in the image, generates a region of interest for each identified item in the image, identifies a physical dimension of a portion of region depicted in the image, determines a dimension of the region of interest for each identified item and the portion of region in pixels, determines a pixel-to-physical dimension ratio using the dimension in pixels of the portion of region and the physical dimension of the portion of region depicted in the image, and determines a stock keeping unit identifier of each identified item in the image based on the pixel-to-physical dimension ratio and the dimension of the region of interest for each identified item. 
   
   ",Autre,"Bharathi Shekar, Sri Kaushik Pavani, Anshul Garg",Ricoh Co Ltd,Active,,,
https://patents.google.com/patent/US10318839B2,US10318839B2,Method for automatic detection of anatomical landmarks in volumetric data,2016-01-12,"Embodiments, method, detection, plurality, three-dimensional","
     Embodiments of a method for detection of plurality of three-dimensional cephalometric landmarks in volumetric data are disclosed. In some embodiments, a three-dimensional matrix is developed by stacking of volumetric data and the bony structure is segmented through thresholding. Initially a seed point is searched for initializing the process of landmark detection. Two three-dimensional distance vectors are used to define and obtain the Volume of Interest (VOI). First 3-D distance vector helps to identify Empirical Point and consecutively second gives dimensions of the VOI. Three-dimensional contours of anatomical structure are traced in the estimated VOI. Cephalometric landmarks are identified on the boundaries of traced anatomical geometry, based on corresponding Mathematical Entities. Detected landmark can be used as a Reference Point for further detection of landmarks. Estimating the VOI and detection of points continues till all desired landmarks are detected. The detection procedure gives three-dimensional coordinate locations of the landmarks. 
   
   ",Intelligence Artificielle,"Abhishek Gupta, Harish Kumar Sardana, Om Prakash Kharbanda, Viren Sardana","National Informatics Centre-Department Of Electronics And Information Technology, National Informatics Centre Department Of Electronics And Information Technology, Council of Scientific and Industrial Research CSIR","Expired - Fee Related, expires 2036-05-06",,,
https://patents.google.com/patent/US10318841B2,US10318841B2,"Medical-image processing apparatus, ultrasonic diagnostic apparatus, and medical-image processing method",2017-02-17,"medical-image, processing, apparatus, according, embodiment, processing","
     A medical-image processing apparatus according to an embodiment includes processing circuitry. The processing circuit acquires an initial value of an outline corresponding vector that corresponds to an outline of a subject included in medical image data. The processing circuitry updates the outline corresponding vector based on a derivative that is acquired by differentiating a cost function with respect to the outline corresponding vector by the outline corresponding vector, and on the initial value of the outline corresponding vector. 
   
   ",Sécurité,"Tomoya Okazaki, Yukinobu Sakata",Canon Medical Systems Corp,"Active, expires 2037-08-07",,,
